No,Team,Season
1,AC Milan,2025-26
2,Arsenal,2025-26
3,Aston Villa,2025-26
4,Atalanta,2025-26
5,Atletico Madrid,2025-26
6,Bayer Leverkusen,2025-26
7,Bayern Munich,2025-26
8,Benfica,2025-26
9,Bologna,2025-26
10,Borussia Dortmund,2025-26
11,Celtic,2025-26
12,Club Brugge,2025-26
13,Dinamo Zagreb,2025-26
14,FC Barcelona,2025-26
15,FC Salzburg,2025-26
16,Feyenoord,2025-26
17,Girona,2025-26
18,Inter Milan,2025-26
19,Juventus,2025-26
20,Lille,2025-26
21,Liverpool,2025-26
22,Manchester City,2025-26
23,Monaco,2025-26
24,PSG,2025-26
25,PSV Eindhoven,2025-26
26,Porto,2025-26
27,RB Leipzig,2025-26
28,Real Madrid,2025-26
29,Shakhtar Donetsk,2025-26
30,Sporting CP,2025-26
31,Stuttgart,2025-26
32,Young Boys,2025-26
