Rank,Player,Club,Goals,Assists,Season,Note
1,Kylian Mbappé,Real Madrid,9,4,2025-26,League Phase + KO
2,Vinícius Jr.,Real Madrid,8,6,2025-26,League Phase + KO
3,Erling Haaland,Manchester City,7,3,2025-26,League Phase
4,Harry Kane,Bayern Munich,7,4,2025-26,League Phase + KO
5,Raphinha,FC Barcelona,6,5,2025-26,League Phase + KO
6,Bukayo Saka,Arsenal,5,5,2025-26,League Phase + KO
7,Ousmane Dembélé,PSG,5,3,2025-26,League Phase + KO
8,Antoine Griezmann,Atletico Madrid,5,3,2025-26,League Phase + KO
9,Thomas Müller,Bayern Munich,4,5,2025-26,League Phase + KO
10,Lamine Yamal,FC Barcelona,4,7,2025-26,League Phase + KO
