Round,Team_1,Score_1,Score_2,Team_2,Agg,Winner,Venue
Round of 16,Bayern Munich,3,0,PSG,4-2,Bayern Munich,
Round of 16,Club Brugge,0,5,Benfica,2-7,Benfica,
Round of 16,Liverpool,5,2,Real Madrid,6-2,Real Madrid,
Round of 16,AC Milan,0,1,Tottenham,0-1,Tottenham,
Round of 16,Borussia Dortmund,2,0,Chelsea,2-0,Borussia Dortmund,
Round of 16,Inter Milan,1,0,Porto,1-0,Inter Milan,
Round of 16,Napoli,3,1,Eintracht Frankfurt,5-3,Napoli,
Round of 16,Manchester City,7,0,RB Leipzig,8-1,Manchester City,
Quarterfinals,Real Madrid,2,0,Chelsea,4-0,Real Madrid,
Quarterfinals,Manchester City,3,0,Bayern Munich,4-1,Manchester City,
Quarterfinals,Inter Milan,3,3,Benfica,5-3,Inter Milan,
Quarterfinals,AC Milan,1,0,Napoli,2-1,AC Milan,
Semifinals,Real Madrid,1,1,Manchester City,1-5,Manchester City,
Semifinals,Inter Milan,3,0,AC Milan,3-0,Inter Milan,
Final,Manchester City,1,0,Inter Milan,1-0,Manchester City,"Atatürk Olympic Stadium, Istanbul"
