No,Team,Season
1,AC Milan,2022-23
2,Ajax,2022-23
3,Atlético Madrid,2022-23
4,Bayer Leverkusen,2022-23
5,Bayern Munich,2022-23
6,Benfica,2022-23
7,Borussia Dortmund,2022-23
8,Brest,2022-23
9,Celtic,2022-23
10,Chelsea,2022-23
11,Club Brugge,2022-23
12,Copenhagen,2022-23
13,Dinamo Zagreb,2022-23
14,Eintracht Frankfurt,2022-23
15,FC Barcelona,2022-23
16,FC Salzburg,2022-23
17,Inter Milan,2022-23
18,Juventus,2022-23
19,Liverpool,2022-23
20,Maccabi Haifa,2022-23
21,Manchester City,2022-23
22,Marseille,2022-23
23,Napoli,2022-23
24,Paris Saint-Germain,2022-23
25,Plzen,2022-23
26,Porto,2022-23
27,Rangers,2022-23
28,Real Madrid,2022-23
29,Sevilla,2022-23
30,Shakhtar Donetsk,2022-23
31,Sporting CP,2022-23
32,Tottenham,2022-23
